epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,993.601,1.07732,0.90392,1.45089,0.60842,0.49954,0.53088,0.29996,1.48356,1.6561,2.37198,0.000474644,0.000474644,0.000474644
2,1947.59,1.13245,0.99582,1.47653,0.65773,0.5306,0.55024,0.29441,1.5509,1.74012,2.37866,0.000927441,0.000927441,0.000927441
3,2865.59,1.20314,1.10659,1.54717,0.58604,0.48139,0.52764,0.29066,1.51669,1.83415,2.29396,0.00135666,0.00135666,0.00135666
4,3777.01,1.21791,1.11011,1.55312,0.5862,0.52748,0.51713,0.27629,1.57181,1.81923,2.37616,0.0013229,0.0013229,0.0013229
5,4687.8,1.2178,1.12319,1.55128,0.58876,0.5012,0.48204,0.26175,1.50165,2.02975,2.29771,0.00128753,0.00128753,0.00128753
6,5594.8,1.20777,1.08454,1.55787,0.65371,0.57898,0.61291,0.33157,1.51795,1.58498,2.32741,0.00125216,0.00125216,0.00125216
7,6514.38,1.18492,1.09407,1.53682,0.62289,0.55708,0.58041,0.32208,1.4716,1.6061,2.22602,0.00121679,0.00121679,0.00121679
8,7428.45,1.15739,1.03671,1.51177,0.60235,0.56045,0.57044,0.31967,1.47896,1.72762,2.2347,0.00118143,0.00118143,0.00118143
9,8338.17,1.17203,1.05424,1.5237,0.55409,0.49396,0.51123,0.28232,1.47934,2.02139,2.26603,0.00114606,0.00114606,0.00114606
10,9244.91,1.15562,1.02761,1.51756,0.60231,0.57053,0.57115,0.3123,1.44418,1.66957,2.22636,0.00111069,0.00111069,0.00111069
11,10154.2,1.13856,1.0169,1.49198,0.63961,0.56669,0.60032,0.3393,1.42814,1.5477,2.19184,0.00107532,0.00107532,0.00107532
12,11066.1,1.1409,1.0188,1.49637,0.65662,0.55098,0.60527,0.33688,1.3887,1.50176,2.17251,0.00103995,0.00103995,0.00103995
13,11983.2,1.12559,0.99393,1.47501,0.55731,0.52119,0.51254,0.28561,1.43356,1.80834,2.20903,0.00100459,0.00100459,0.00100459
14,12898.7,1.09949,0.947,1.45233,0.65267,0.53077,0.58821,0.32831,1.42194,1.65483,2.22163,0.000969219,0.000969219,0.000969219
15,13816.8,1.09705,0.95316,1.46453,0.59895,0.60405,0.58223,0.32347,1.45631,1.6564,2.25817,0.000933851,0.000933851,0.000933851
16,14726.9,1.09199,0.94646,1.46636,0.68605,0.56877,0.61937,0.35146,1.43427,1.52225,2.20117,0.000898484,0.000898484,0.000898484
17,15693.8,1.08187,0.93347,1.44717,0.65288,0.56521,0.59739,0.33578,1.39157,1.49525,2.17093,0.000863116,0.000863116,0.000863116
18,16682.8,1.06482,0.90891,1.43875,0.64223,0.53152,0.57953,0.31779,1.46028,1.7294,2.24579,0.000827748,0.000827748,0.000827748
19,17689.5,1.04676,0.88972,1.42505,0.7127,0.58575,0.64188,0.36325,1.39025,1.41102,2.18321,0.00079238,0.00079238,0.00079238
20,18815.9,1.03902,0.8867,1.41113,0.68918,0.54416,0.6086,0.34831,1.40466,1.46364,2.20325,0.000757013,0.000757013,0.000757013
21,19851.2,1.04177,0.87214,1.41492,0.67565,0.61226,0.63867,0.36527,1.41201,1.43954,2.20721,0.000721645,0.000721645,0.000721645
22,20822.7,1.02135,0.86295,1.40239,0.70953,0.56247,0.63242,0.36561,1.37879,1.54246,2.15097,0.000686277,0.000686277,0.000686277
23,21778.1,1.01687,0.86346,1.39964,0.69546,0.5923,0.63016,0.35549,1.46166,1.51616,2.25804,0.000650909,0.000650909,0.000650909
24,22712.8,1.00673,0.84487,1.40083,0.63799,0.5161,0.54807,0.30934,1.37629,1.78546,2.12727,0.000615542,0.000615542,0.000615542
25,23675.7,1.00121,0.83585,1.3892,0.66511,0.57538,0.61906,0.35707,1.39818,1.51682,2.18047,0.000580174,0.000580174,0.000580174
26,24631,0.98441,0.8099,1.37518,0.66958,0.56649,0.61599,0.36412,1.36584,1.53762,2.14066,0.000544806,0.000544806,0.000544806
27,25591.3,0.95393,0.78275,1.35606,0.63564,0.56296,0.57412,0.32641,1.4415,1.5819,2.22321,0.000509438,0.000509438,0.000509438
28,26551.4,0.97077,0.78482,1.36941,0.73691,0.57276,0.63419,0.36391,1.38037,1.41278,2.16573,0.000474071,0.000474071,0.000474071
29,27502.5,0.95268,0.78001,1.34849,0.63532,0.57601,0.59161,0.33809,1.39111,1.74936,2.14144,0.000438703,0.000438703,0.000438703
30,28449.7,0.93407,0.76965,1.34233,0.69083,0.57552,0.62646,0.36827,1.37712,1.40908,2.17959,0.000403335,0.000403335,0.000403335
31,29366.8,0.86032,0.626,1.33477,0.66693,0.60581,0.62753,0.36694,1.36272,1.41719,2.13802,0.000367967,0.000367967,0.000367967
32,30285.6,0.83021,0.59562,1.30493,0.63426,0.58415,0.60027,0.34549,1.35032,1.48976,2.14671,0.0003326,0.0003326,0.0003326
33,31202.2,0.81978,0.57627,1.29726,0.66809,0.56518,0.61534,0.36301,1.33783,1.51247,2.13272,0.000297232,0.000297232,0.000297232
34,32116.5,0.79569,0.55801,1.29156,0.69779,0.56982,0.63047,0.37183,1.33522,1.41258,2.15408,0.000261864,0.000261864,0.000261864
35,33037.5,0.78209,0.55489,1.28245,0.65215,0.59556,0.62852,0.37922,1.33017,1.38619,2.1395,0.000226497,0.000226497,0.000226497
36,33954.8,0.75231,0.52349,1.25416,0.70054,0.61118,0.65334,0.39329,1.3216,1.34806,2.14571,0.000191129,0.000191129,0.000191129
37,34874.6,0.74685,0.51411,1.23157,0.6776,0.57507,0.61595,0.3716,1.32316,1.42146,2.1574,0.000155761,0.000155761,0.000155761
38,35851.1,0.72938,0.50556,1.2321,0.66153,0.60194,0.61929,0.37419,1.31512,1.42008,2.14386,0.000120393,0.000120393,0.000120393
39,36840,0.71929,0.49083,1.21139,0.67969,0.58808,0.61685,0.37213,1.31914,1.45802,2.14025,8.50255e-05,8.50255e-05,8.50255e-05
40,37850.1,0.71098,0.48994,1.21542,0.67254,0.61168,0.63334,0.38416,1.32122,1.3984,2.17192,4.96578e-05,4.96578e-05,4.96578e-05
