epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,607.792,1.32335,1.30856,1.57717,0.53176,0.52378,0.46356,0.27113,1.403,1.70318,2.00173,0.000474644,0.000474644,0.000474644
2,1211.33,1.3948,1.43731,1.61954,0.66327,0.53169,0.55959,0.32009,1.44977,1.8733,2.08004,0.000919595,0.000919595,0.000919595
3,1807.92,1.43993,1.53325,1.6688,0.54926,0.48276,0.52013,0.28147,1.47107,1.84614,2.05051,0.00133311,0.00133311,0.00133311
4,2399.99,1.44876,1.48485,1.66355,0.41906,0.43432,0.40823,0.20344,1.70992,2.10028,2.39498,0.00128753,0.00128753,0.00128753
5,2991.82,1.41187,1.49234,1.644,0.61628,0.53411,0.55844,0.30913,1.45514,1.68059,2.03984,0.00124037,0.00124037,0.00124037
6,3581.55,1.41775,1.42029,1.64706,0.55507,0.50839,0.48194,0.2749,1.47602,2.04845,2.09753,0.00119322,0.00119322,0.00119322
7,4174.48,1.38281,1.41231,1.61504,0.60756,0.55178,0.57824,0.33197,1.36598,1.71232,1.92264,0.00114606,0.00114606,0.00114606
8,4767.01,1.34833,1.34158,1.58749,0.66496,0.56307,0.59114,0.34598,1.34925,1.72105,1.94118,0.0010989,0.0010989,0.0010989
9,5358.17,1.35719,1.34145,1.59792,0.63986,0.56645,0.58986,0.34115,1.43152,1.71558,2.01273,0.00105174,0.00105174,0.00105174
10,5947.37,1.32775,1.2915,1.58606,0.65459,0.59301,0.61714,0.35875,1.35699,1.57649,1.91722,0.00100459,0.00100459,0.00100459
11,6539.4,1.304,1.26577,1.56247,0.58814,0.58341,0.57895,0.33918,1.34237,1.54146,1.9268,0.00095743,0.00095743,0.00095743
12,7130.53,1.31532,1.28801,1.57257,0.63147,0.57921,0.60412,0.35136,1.39334,1.43179,2.00002,0.000910273,0.000910273,0.000910273
13,7721.93,1.28573,1.21652,1.53096,0.58469,0.57407,0.58521,0.34444,1.33233,1.68694,1.89354,0.000863116,0.000863116,0.000863116
14,8312.51,1.27522,1.19255,1.52379,0.64651,0.5252,0.58978,0.35201,1.31825,1.80247,1.87845,0.000815959,0.000815959,0.000815959
15,8902.66,1.25975,1.16105,1.52379,0.66957,0.58216,0.61913,0.36524,1.31311,1.56383,1.87355,0.000768802,0.000768802,0.000768802
16,9493.28,1.2416,1.14684,1.51097,0.71642,0.57837,0.65533,0.38891,1.30717,1.40447,1.87931,0.000721645,0.000721645,0.000721645
17,10084.5,1.24313,1.1388,1.49848,0.59485,0.51798,0.52673,0.31835,1.27315,1.76167,1.82317,0.000674488,0.000674488,0.000674488
18,10675.1,1.2162,1.10303,1.48884,0.63579,0.53553,0.59126,0.34589,1.27842,1.63688,1.80032,0.000627331,0.000627331,0.000627331
19,11266.1,1.20171,1.08433,1.47593,0.67193,0.6113,0.64458,0.39835,1.34876,1.52196,1.87494,0.000580174,0.000580174,0.000580174
20,11872.1,1.19196,1.05737,1.46142,0.68699,0.58448,0.63324,0.39045,1.28005,1.42408,1.83691,0.000533017,0.000533017,0.000533017
21,12477.2,1.13619,0.91107,1.47964,0.60809,0.53224,0.54849,0.33631,1.30068,1.8382,1.85916,0.00048586,0.00048586,0.00048586
22,13171.9,1.08989,0.88274,1.45756,0.68753,0.58611,0.6335,0.38795,1.28379,1.43687,1.81244,0.000438703,0.000438703,0.000438703
23,13876.6,1.06423,0.84292,1.44116,0.6848,0.53917,0.62843,0.38903,1.248,1.49635,1.7913,0.000391546,0.000391546,0.000391546
24,14564,1.04066,0.79735,1.41323,0.68677,0.60882,0.65588,0.4048,1.2383,1.37195,1.81247,0.000344389,0.000344389,0.000344389
25,15240.3,1.02157,0.77689,1.39566,0.65021,0.5668,0.59675,0.36686,1.24492,1.56401,1.80187,0.000297232,0.000297232,0.000297232
26,15985.7,0.99337,0.76814,1.37305,0.69135,0.61825,0.65844,0.40511,1.24552,1.36605,1.79653,0.000250075,0.000250075,0.000250075
27,16860.1,0.97111,0.72042,1.35269,0.70635,0.59407,0.64628,0.40564,1.24108,1.36931,1.79765,0.000202918,0.000202918,0.000202918
28,17624.2,0.96203,0.70692,1.35438,0.70434,0.59503,0.64868,0.40864,1.21809,1.38716,1.78984,0.000155761,0.000155761,0.000155761
29,18424.9,0.93588,0.68235,1.33099,0.70536,0.60925,0.65634,0.41358,1.21175,1.36865,1.77904,0.000108604,0.000108604,0.000108604
30,19245.8,0.91214,0.64904,1.2974,0.69342,0.60793,0.64332,0.4055,1.20772,1.41076,1.77431,6.1447e-05,6.1447e-05,6.1447e-05
