epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8847.34,1.02138,1.04619,1.45553,0.47257,0.54586,0.41568,0.23231,1.34901,1.64967,1.95179,0.000848969,0.000848969,0.000848969
43,9056.36,1.00968,1.03891,1.47022,0.58519,0.46758,0.49074,0.30289,1.32857,1.59005,1.96612,0.000834822,0.000834822,0.000834822
44,9265.06,0.98223,1.00769,1.44275,0.41203,0.44318,0.32381,0.18589,1.29033,1.96729,1.91163,0.000820675,0.000820675,0.000820675
45,9502.61,0.96399,1.00531,1.42663,0.45217,0.47402,0.3604,0.21197,1.30192,2.04944,1.90686,0.000806528,0.000806528,0.000806528
46,9734.3,1.00055,0.98054,1.42432,0.40906,0.42235,0.35617,0.216,1.31008,1.83607,1.90194,0.00079238,0.00079238,0.00079238
47,9958.16,0.9714,0.98254,1.42969,0.45832,0.46487,0.40042,0.2432,1.31882,1.7348,1.94354,0.000778233,0.000778233,0.000778233
48,10189.5,0.98662,0.97995,1.42659,0.44657,0.44798,0.37672,0.22614,1.38,2.16999,2.0349,0.000764086,0.000764086,0.000764086
49,10423.4,0.96528,0.9789,1.4225,0.50694,0.51637,0.41997,0.24692,1.23207,1.89638,1.86166,0.000749939,0.000749939,0.000749939
50,10663.7,0.97087,0.96651,1.43749,0.56394,0.5031,0.49825,0.30029,1.27903,1.55981,1.92033,0.000735792,0.000735792,0.000735792
51,10886.6,0.93463,0.9541,1.39461,0.5116,0.40395,0.44166,0.27375,1.25498,2.03926,1.86834,0.000721645,0.000721645,0.000721645
52,11099.8,0.94204,0.93063,1.41901,0.40387,0.48171,0.39431,0.23126,1.31163,1.87448,1.90775,0.000707498,0.000707498,0.000707498
53,11311.7,0.92475,0.93225,1.3919,0.42417,0.38151,0.34537,0.20525,1.26905,1.91835,1.91671,0.000693351,0.000693351,0.000693351
54,11524.9,0.93535,0.91546,1.39729,0.36087,0.4782,0.26447,0.15583,1.27831,2.1998,1.85679,0.000679204,0.000679204,0.000679204
55,11737.7,0.93453,0.9132,1.39636,0.50992,0.54272,0.43618,0.26484,1.29448,1.62003,1.94729,0.000665057,0.000665057,0.000665057
56,11950.2,0.89206,0.90405,1.36972,0.53395,0.4249,0.45207,0.28118,1.21728,1.6459,1.84792,0.000650909,0.000650909,0.000650909
57,12163.1,0.92127,0.87875,1.37522,0.45461,0.21854,0.30782,0.1953,1.26414,2.63209,1.8701,0.000636762,0.000636762,0.000636762
58,12374.8,0.91847,0.89748,1.38771,0.43146,0.49208,0.37198,0.24514,1.26072,1.95716,1.89884,0.000622615,0.000622615,0.000622615
59,12586.2,0.90234,0.86748,1.3719,0.43026,0.52564,0.41113,0.2612,1.27362,1.77832,1.90815,0.000608468,0.000608468,0.000608468
