epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,654.855,0.89506,0.69438,1.24476,0.71392,0.57135,0.60891,0.37955,1.32362,1.36094,1.96976,0.000475066,0.000475066,0.000475066
2,1275.52,0.93366,0.74899,1.26336,0.64184,0.61423,0.59956,0.36245,1.33832,1.35611,1.99911,0.000944155,0.000944155,0.000944155
3,1897.51,0.98147,0.79446,1.29597,0.57783,0.5733,0.56904,0.33455,1.33833,1.59066,1.90398,0.00140599,0.00140599,0.00140599
4,2588.53,1.02628,0.83473,1.32676,0.56677,0.59993,0.55681,0.33827,1.35076,1.61791,1.95173,0.00139635,0.00139635,0.00139635
5,3269.75,1.02735,0.85779,1.3309,0.63639,0.57733,0.58958,0.3652,1.30388,1.55636,1.9146,0.00138547,0.00138547,0.00138547
6,3947,1.03971,0.86466,1.33718,0.64315,0.5709,0.60002,0.35722,1.36712,1.53818,1.94451,0.00137459,0.00137459,0.00137459
7,4630.15,1.03239,0.87011,1.33119,0.64522,0.58712,0.60895,0.35311,1.3534,1.40096,1.94756,0.00136371,0.00136371,0.00136371
8,5465,1.01281,0.85805,1.32394,0.6363,0.55959,0.57025,0.34944,1.32095,1.38221,1.94679,0.00135282,0.00135282,0.00135282
9,6387.41,1.01943,0.85273,1.32588,0.65836,0.64188,0.64463,0.37933,1.35113,1.27834,1.9715,0.00134194,0.00134194,0.00134194
10,7255.68,1.01789,0.8403,1.32159,0.66085,0.56828,0.60576,0.34514,1.43432,1.51429,2.01371,0.00133106,0.00133106,0.00133106
11,7910,1.01309,0.84404,1.32137,0.61714,0.56901,0.59227,0.35499,1.32198,1.49051,1.91184,0.00132018,0.00132018,0.00132018
12,8573.75,1.01644,0.85589,1.32963,0.60941,0.58149,0.60355,0.35723,1.35244,1.46141,1.93042,0.00130929,0.00130929,0.00130929
13,9249.45,1.00846,0.84253,1.30969,0.64874,0.57548,0.58414,0.35818,1.33753,1.5331,1.92822,0.00129841,0.00129841,0.00129841
14,9928.04,0.99443,0.83853,1.30368,0.67142,0.57982,0.62184,0.37658,1.31883,1.45782,1.89521,0.00128753,0.00128753,0.00128753
15,10580.8,1.00011,0.83283,1.31137,0.69198,0.55976,0.62148,0.37315,1.36229,1.43029,1.94175,0.00127665,0.00127665,0.00127665
16,11200.1,1.00021,0.8231,1.31526,0.6763,0.57234,0.62114,0.37176,1.33894,1.41247,1.94971,0.00126576,0.00126576,0.00126576
17,11867.7,0.99703,0.81907,1.307,0.62325,0.56622,0.54797,0.33507,1.3391,1.54504,1.97249,0.00125488,0.00125488,0.00125488
18,12480.9,0.9934,0.80309,1.29657,0.54852,0.54333,0.51307,0.30507,1.3576,1.86782,1.95461,0.001244,0.001244,0.001244
19,13084.1,0.98674,0.81543,1.2985,0.73127,0.57009,0.6366,0.38466,1.33839,1.33555,1.92101,0.00123312,0.00123312,0.00123312
20,13717.8,0.98172,0.80245,1.29891,0.61925,0.46883,0.5181,0.31328,1.33348,1.90188,1.91576,0.00122223,0.00122223,0.00122223
21,14430.4,0.99058,0.83019,1.30201,0.64346,0.52223,0.56707,0.34328,1.31416,1.52474,1.89883,0.00121135,0.00121135,0.00121135
22,15134.7,0.96534,0.80137,1.28283,0.58034,0.58805,0.5791,0.34556,1.35316,1.49385,1.9268,0.00120047,0.00120047,0.00120047
23,15806.9,0.96946,0.7997,1.29226,0.68119,0.56281,0.59241,0.35622,1.36138,1.48505,1.96689,0.00118959,0.00118959,0.00118959
24,16511.8,0.96425,0.77848,1.28033,0.69858,0.57572,0.63078,0.3802,1.32486,1.38071,1.9072,0.00117871,0.00117871,0.00117871
25,17218.1,0.95381,0.77256,1.27917,0.59432,0.57198,0.57856,0.32548,1.39128,1.60345,2.00514,0.00116782,0.00116782,0.00116782
26,17874.8,0.96186,0.78529,1.28801,0.64269,0.5623,0.59823,0.35716,1.32874,1.43026,1.92861,0.00115694,0.00115694,0.00115694
27,18496.7,0.95397,0.77759,1.27714,0.6742,0.57935,0.61073,0.36645,1.37072,1.41005,1.99048,0.00114606,0.00114606,0.00114606
28,19128.9,0.96272,0.77569,1.28,0.63213,0.59534,0.61683,0.37208,1.32603,1.42525,1.8997,0.00113518,0.00113518,0.00113518
29,19776.5,0.95701,0.76558,1.2816,0.70528,0.59885,0.62943,0.38228,1.36949,1.31262,1.93404,0.00112429,0.00112429,0.00112429
30,20408.8,0.94745,0.7559,1.26989,0.69119,0.58756,0.64319,0.38982,1.33289,1.30426,1.94812,0.00111341,0.00111341,0.00111341
31,21032.2,0.93443,0.75506,1.26631,0.68143,0.56414,0.6085,0.38346,1.27548,1.45368,1.87638,0.00110253,0.00110253,0.00110253
32,21653.4,0.92893,0.74368,1.25623,0.66502,0.58066,0.61172,0.37672,1.31704,1.33587,1.9035,0.00109165,0.00109165,0.00109165
33,22277.8,0.95034,0.78476,1.27453,0.66237,0.57516,0.61282,0.382,1.2738,1.29271,1.87911,0.00108076,0.00108076,0.00108076
34,22935.1,0.92463,0.74113,1.26874,0.642,0.56454,0.57386,0.34344,1.33696,1.52031,1.908,0.00106988,0.00106988,0.00106988
35,23635.7,0.93719,0.73874,1.26066,0.69073,0.58778,0.6295,0.3831,1.29861,1.31211,1.90772,0.001059,0.001059,0.001059
36,24296.2,0.92363,0.71689,1.24774,0.67836,0.63083,0.64962,0.38597,1.35071,1.2574,1.93576,0.00104812,0.00104812,0.00104812
37,24958.5,0.91672,0.72778,1.25193,0.69637,0.58623,0.6264,0.38562,1.33253,1.32623,1.94735,0.00103723,0.00103723,0.00103723
38,25621.6,0.9004,0.72219,1.24074,0.6512,0.58293,0.60449,0.36835,1.33412,1.41559,1.98692,0.00102635,0.00102635,0.00102635
39,26296.3,0.92053,0.72609,1.24481,0.63808,0.56102,0.59161,0.35991,1.37226,1.51078,1.97715,0.00101547,0.00101547,0.00101547
40,26959.4,0.89754,0.70727,1.23572,0.68539,0.58969,0.63577,0.38513,1.32444,1.35841,1.94681,0.00100459,0.00100459,0.00100459
