epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.296,1.2374,2.65371,1.69721,0.08178,0.45438,0.16024,0.08113,1.33491,3.20553,1.93769,0.000465256,0.000465256,0.000465256
2,449.004,1.26959,2.20386,1.709,0.15484,0.28343,0.16951,0.06669,1.5933,3.26054,2.41208,0.000904302,0.000904302,0.000904302
3,668.981,1.36318,2.06428,1.72714,0.17991,0.32974,0.0562,0.02161,2.27884,7.65913,3.13622,0.00130562,0.00130562,0.00130562
4,881.892,1.3633,2.0551,1.77019,0.21733,0.47912,0.17868,0.07901,1.65402,7.72605,2.54999,0.00125923,0.00125923,0.00125923
5,1092.16,1.35888,1.91781,1.75443,0.22341,0.33101,0.19075,0.07675,1.98403,3.21074,2.62123,0.00120265,0.00120265,0.00120265
6,1301.95,1.31604,1.80942,1.70148,0.2784,0.3534,0.21856,0.08714,1.7126,2.91358,2.29497,0.00114606,0.00114606,0.00114606
7,1510.9,1.27753,1.70293,1.66818,0.22142,0.53139,0.18333,0.08985,1.59681,3.07013,2.261,0.00108947,0.00108947,0.00108947
8,1720.14,1.25998,1.63655,1.64796,0.6627,0.35756,0.36273,0.18041,1.48451,2.09295,2.09146,0.00103288,0.00103288,0.00103288
9,1930.43,1.28947,1.66935,1.67519,0.30812,0.29701,0.20422,0.10324,1.48718,3.00964,2.0501,0.000976293,0.000976293,0.000976293
10,34596.4,1.26681,1.65607,1.66356,0.20806,0.58467,0.1777,0.09291,1.41504,2.96464,2.02846,0.000919704,0.000919704,0.000919704
11,34814.8,1.2213,1.54951,1.6164,0.39867,0.34042,0.30763,0.15537,1.45543,2.1092,2.05235,0.000863116,0.000863116,0.000863116
12,35030.6,1.18191,1.44965,1.60281,0.41537,0.44399,0.29832,0.1561,1.38559,2.23203,1.98171,0.000806528,0.000806528,0.000806528
13,35247.5,1.18299,1.41609,1.5987,0.40394,0.4434,0.30869,0.14688,1.58216,2.44122,2.25087,0.000749939,0.000749939,0.000749939
14,35463.1,1.16975,1.42541,1.58302,0.39992,0.53402,0.33782,0.15894,1.57871,2.1306,2.26801,0.000693351,0.000693351,0.000693351
15,35680.4,1.12095,1.42611,1.56586,0.43132,0.38843,0.32251,0.17979,1.38731,2.21846,1.96746,0.000636762,0.000636762,0.000636762
16,35895.7,1.13933,1.50244,1.71846,0.41745,0.52057,0.36849,0.19025,1.32362,1.87403,1.92159,0.000580174,0.000580174,0.000580174
17,36109.3,1.04702,1.35449,1.66311,0.46577,0.45719,0.41362,0.23282,1.218,1.96966,1.81882,0.000523586,0.000523586,0.000523586
18,36321.2,1.04875,1.26016,1.63632,0.49845,0.45278,0.42623,0.25627,1.28078,2.03167,1.86044,0.000466997,0.000466997,0.000466997
19,36535,0.98754,1.21837,1.58599,0.50872,0.45918,0.41071,0.22782,1.28337,1.92308,1.87745,0.000410409,0.000410409,0.000410409
20,36747.1,0.95287,1.15314,1.55377,0.42266,0.43074,0.30644,0.19209,1.21848,2.14286,1.83283,0.00035382,0.00035382,0.00035382
21,36958.6,0.93361,1.07978,1.51594,0.43725,0.54598,0.382,0.21701,1.23108,1.94307,1.81291,0.000297232,0.000297232,0.000297232
22,37170.7,0.88705,1.01571,1.49398,0.4512,0.39784,0.36123,0.22118,1.15778,1.94041,1.76666,0.000240644,0.000240644,0.000240644
23,37382.1,0.8719,1.01656,1.44218,0.59682,0.47412,0.47297,0.28925,1.18342,1.7982,1.78225,0.000184055,0.000184055,0.000184055
24,37594.3,0.85092,0.94775,1.45625,0.5629,0.46184,0.49411,0.29602,1.17023,1.6823,1.75706,0.000127467,0.000127467,0.000127467
25,37805.8,0.85145,0.95872,1.46104,0.52536,0.45579,0.4134,0.24958,1.13956,1.88388,1.73914,7.08784e-05,7.08784e-05,7.08784e-05
