epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,922.153,1.46483,2.37965,1.69661,0.32125,0.23633,0.24252,0.1223,1.59005,3.01203,2.19783,0.000472955,0.000472955,0.000472955
2,1619.25,1.53688,2.0121,1.74228,0.38135,0.37358,0.31115,0.1338,1.73925,2.57616,2.48367,0.00093989,0.00093989,0.00093989
3,2274.28,1.57357,1.98642,1.7703,0.30843,0.372,0.27461,0.11267,1.77303,2.81161,2.61492,0.00139739,0.00139739,0.00139739
